refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
MARATHON_NIKISKI,DHCU,13.0,12.99,2024,0.9992
MARATHON_NIKISKI,ISOM,5.0,5.49,2024,1.098
MARATHON_NIKISKI,NHT,13.0,12.85,2024,0.9885
MARATHON_NIKISKI,REF,14.2,11.43,2017,0.8049
MARATHON_NIKISKI,VDU,26.0,25.98,2024,0.9992
MARATHON_ROBINSON,ALKY,12.5,15.3,2024,1.224
MARATHON_ROBINSON,CCR,82.0,64.45,2018,0.786
MARATHON_ROBINSON,CDU,266.0,249.47,2024,0.9379
MARATHON_ROBINSON,COKER,30.5,62.17,2024,2.0384
MARATHON_ROBINSON,DHCU,44.0,43.8,2024,0.9955
MARATHON_ROBINSON,FCC,54.5,54.27,2018,0.9958
MARATHON_ROBINSON,ISOM,16.0,15.87,2021,0.9919
MARATHON_ROBINSON,NHT,70.5,72.18,2018,1.0238
MARATHON_ROBINSON,VDU,76.0,76.0,2024,1.0
MARATHON_SAINT_PAUL_PARK,ALKY,6.5,6.79,2023,1.0446
MARATHON_SAINT_PAUL_PARK,CDU,108.0,106.52,2024,0.9863
MARATHON_SAINT_PAUL_PARK,FCC,30.5,28.07,2018,0.9203
MARATHON_SAINT_PAUL_PARK,ISOM,15.5,9.5,2017,0.6129
MARATHON_SAINT_PAUL_PARK,NHT,38.0,23.0,2024,0.6053
MARATHON_SAINT_PAUL_PARK,REF,23.0,22.41,2023,0.9743
MARATHON_SAINT_PAUL_PARK,VDU,50.0,39.78,2017,0.7956
MARATHON_SALT_LAKE_CITY,ALKY,7.5,8.14,2022,1.0853
MARATHON_SALT_LAKE_CITY,CDU,71.58,62.42,2017,0.872
MARATHON_SALT_LAKE_CITY,NHT,11.5,16.45,2019,1.4304
MARATHON_SALT_LAKE_CITY,RCC,24.5,22.87,2021,0.9335
MARATHON_SALT_LAKE_CITY,REF,11.5,13.29,2019,1.1557
MONROE_TRAINER,ALKY,12.0,12.0,2017,1.0
MONROE_TRAINER,CCR,50.0,47.8,2024,0.956
MONROE_TRAINER,CDU,208.0,180.96,2017,0.87
MONROE_TRAINER,DHCU,23.0,23.0,2024,1.0
MONROE_TRAINER,FCC,53.0,36.16,2017,0.6823
MONROE_TRAINER,NHT,80.0,67.7,2022,0.8463
MONROE_TRAINER,VDU,73.0,48.62,2022,0.666
MOTIVA_PAR,ALKY,20.5,24.66,2022,1.2029
MOTIVA_PAR,CCR,129.5,126.51,2023,0.9769
MOTIVA_PAR,CDU,654.0,604.41,2023,0.9242
MOTIVA_PAR,COKER,178.0,135.46,2022,0.761
MOTIVA_PAR,DHCU,112.0,108.17,2023,0.9658
MOTIVA_PAR,FCC,92.6,91.88,2022,0.9922
MOTIVA_PAR,ISOM,49.14,48.27,2022,0.9823
MOTIVA_PAR,NHT,165.4,163.2,2022,0.9867
MOTIVA_PAR,VDU,331.8,287.84,2023,0.8675
MPC_GALV_BAY,ALKY,61.0,70.97,2024,1.1634
MPC_GALV_BAY,CCR,144.5,141.18,2018,0.977
MPC_GALV_BAY,CDU,665.0,594.44,2018,0.8939
MPC_GALV_BAY,COKER,33.0,32.34,2018,0.98
MPC_GALV_BAY,DHCU,78.5,79.92,2018,1.0181
MPC_GALV_BAY,FCC,205.5,204.5,2019,0.9951
MPC_GALV_BAY,NHT,126.5,173.75,2018,1.3735
MPC_GALV_BAY,RHCU,84.5,70.0,2022,0.8284
MPC_GALV_BAY,VDU,259.5,229.26,2018,0.8835
NCRA_MCPHERSON,ALKY,9.5,9.87,2023,1.0389
NCRA_MCPHERSON,CCR,27.0,27.0,2024,1.0
NCRA_MCPHERSON,CDU,114.93,114.56,2024,0.9968
NCRA_MCPHERSON,COKER,30.55,21.9,2019,0.7169
NCRA_MCPHERSON,DHCU,43.0,34.06,2024,0.7921
NCRA_MCPHERSON,FCC,24.0,23.7,2017,0.9875
NCRA_MCPHERSON,ISOM,12.0,10.75,2021,0.8958
NCRA_MCPHERSON,NHT,42.4,29.8,2022,0.7028
NCRA_MCPHERSON,VDU,50.0,46.63,2024,0.9326
PAR_BILLINGS,ALKY,5.1,5.85,2023,1.1471
PAR_BILLINGS,CDU,62.9,59.77,2017,0.9502
PAR_BILLINGS,DHCU,6.2,5.87,2023,0.9468
PAR_BILLINGS,FCC,23.66,15.92,2023,0.6729
PAR_BILLINGS,FCOKER,10.0,9.92,2023,0.992
PAR_BILLINGS,NHT,13.9,13.84,2023,0.9957
PAR_BILLINGS,REF,12.5,10.06,2023,0.8048
