refinery_id,unit_id,nameplate_kbd,effective_kbd,effective_year,eff_vs_nameplate
PAR_BILLINGS,VDU,32.3,28.93,2023,0.8957
PAR_EWA_BEACH,ALKY,5.0,0.64,2021,0.128
PAR_EWA_BEACH,CCR,13.5,11.83,2022,0.8763
PAR_EWA_BEACH,CDU,94.0,109.0,2019,1.1596
PAR_EWA_BEACH,DHCU,18.0,21.99,2017,1.2217
PAR_EWA_BEACH,FCC,22.0,17.49,2021,0.795
PAR_EWA_BEACH,NHT,13.0,18.31,2019,1.4085
PAR_EWA_BEACH,VDU,71.0,43.41,2019,0.6114
PBF_CHALMETTE,ALKY,16.8,16.08,2021,0.9571
PBF_CHALMETTE,CCR,22.7,21.0,2023,0.9251
PBF_CHALMETTE,CDU,197.0,185.67,2019,0.9425
PBF_CHALMETTE,COKER,42.0,35.96,2019,0.8562
PBF_CHALMETTE,FCC,75.6,75.6,2019,1.0
PBF_CHALMETTE,ISOM,8.2,8.2,2019,1.0
PBF_CHALMETTE,NHT,42.0,36.12,2023,0.86
PBF_CHALMETTE,REF,30.0,9.39,2023,0.313
PBF_CHALMETTE,VDU,169.0,84.83,2018,0.502
PBF_MARTINEZ,ALKY,12.8,15.66,2022,1.2234
PBF_MARTINEZ,CCR,31.0,30.86,2024,0.9955
PBF_MARTINEZ,CDU,157.0,137.65,2017,0.8768
PBF_MARTINEZ,COKER,26.8,23.25,2017,0.8675
PBF_MARTINEZ,DHCU,42.9,25.91,2024,0.604
PBF_MARTINEZ,FCC,72.0,55.88,2024,0.7761
PBF_MARTINEZ,FCOKER,22.5,15.38,2018,0.6836
PBF_MARTINEZ,ISOM,15.0,7.43,2024,0.4953
PBF_MARTINEZ,NHT,28.0,27.58,2017,0.985
PBF_MARTINEZ,VDU,101.0,57.35,2018,0.5678
PBF_TOLEDO,ALKY,9.95,10.62,2024,1.0673
PBF_TOLEDO,CDU,180.0,175.03,2019,0.9724
PBF_TOLEDO,DHCU,52.0,45.97,2019,0.884
PBF_TOLEDO,NHT,45.9,42.12,2019,0.9176
PBF_TOLEDO,RCC,82.0,58.81,2024,0.7172
PBF_TOLEDO,REF,51.8,40.78,2019,0.7873
PBF_TORRANCE,ALKY,30.0,30.0,2019,1.0
PBF_TORRANCE,CDU,166.2,154.8,2018,0.9314
PBF_TORRANCE,COKER,62.0,58.01,2019,0.9356
PBF_TORRANCE,DHCU,28.3,27.67,2024,0.9777
PBF_TORRANCE,FCC,90.0,74.73,2018,0.8303
PBF_TORRANCE,NHT,25.3,23.51,2019,0.9292
PBF_TORRANCE,REF,20.0,19.94,2021,0.997
