month,flow,kbd,source
2024-09,IPTRANSF,-245.0,Actual
2024-09,PTRANSF,23.0,Actual
2024-09,RECEIPTS,413.0,Actual
2024-09,REFGROUT,309.0,Actual
2024-09,SPR,0.0,Actual
2024-09,STOCKCH,-70.0,Actual
2024-09,TOTDEMO,108.0,Actual
2024-09,TOTEXPSB,434.0,Actual
2024-09,TOTIMPSB,19.0,Actual
2024-10,ADJFACT,-2.0,Actual
2024-10,BALANCE,70.0,Actual
2024-10,BLENDING,137.0,Actual
2024-10,CLOSTLV,45301.0,Actual
2024-10,IPTRANSF,-243.0,Actual
2024-10,PTRANSF,48.0,Actual
2024-10,RECEIPTS,428.0,Actual
2024-10,REFGROUT,447.0,Actual
2024-10,SPR,0.0,Actual
2024-10,STOCKCH,68.0,Actual
2024-10,TOTDEMO,120.0,Actual
2024-10,TOTEXPSB,414.0,Actual
2024-10,TOTIMPSB,20.0,Actual
2024-11,ADJFACT,-1.0,Actual
2024-11,BALANCE,-65.0,Actual
2024-11,BLENDING,116.0,Actual
2024-11,CLOSTLV,43328.0,Actual
2024-11,IPTRANSF,-241.0,Actual
2024-11,PTRANSF,94.0,Actual
2024-11,RECEIPTS,451.0,Actual
2024-11,REFGROUT,393.0,Actual
2024-11,SPR,0.0,Actual
2024-11,STOCKCH,-66.0,Actual
2024-11,TOTDEMO,150.0,Actual
2024-11,TOTEXPSB,437.0,Actual
2024-11,TOTIMPSB,13.0,Actual
2024-12,ADJFACT,0.0,Actual
2024-12,BALANCE,-24.0,Actual
2024-12,BLENDING,79.0,Actual
2024-12,CLOSTLV,42599.0,Actual
2024-12,IPTRANSF,-228.0,Actual
2024-12,PTRANSF,160.0,Actual
2024-12,RECEIPTS,467.0,Actual
2024-12,REFGROUT,359.0,Actual
2024-12,SPR,0.0,Actual
2024-12,STOCKCH,-24.0,Actual
2024-12,TOTDEMO,134.0,Actual
2024-12,TOTEXPSB,358.0,Actual
2024-12,TOTIMPSB,30.0,Actual
2025-01,ADJFACT,-4.0,Actual
2025-01,BALANCE,-3.0,Actual
2025-01,BLENDING,166.0,Actual
2025-01,CLOSTLV,42376.0,Actual
2025-01,IPTRANSF,-166.0,Actual
2025-01,PTRANSF,24.0,Actual
2025-01,RECEIPTS,356.0,Actual
2025-01,REFGROUT,292.0,Actual
2025-01,SPR,0.0,Actual
2025-01,STOCKCH,-7.0,Actual
2025-01,TOTDEMO,123.0,Actual
2025-01,TOTEXPSB,359.0,Actual
2025-01,TOTIMPSB,21.0,Actual
2025-02,ADJFACT,0.0,Actual
2025-02,BALANCE,-22.0,Actual
2025-02,BLENDING,104.0,Actual
2025-02,CLOSTLV,41752.0,Actual
2025-02,IPTRANSF,-144.0,Actual
2025-02,PTRANSF,52.0,Actual
2025-02,RECEIPTS,300.0,Actual
2025-02,REFGROUT,275.0,Actual
2025-02,SPR,0.0,Actual
2025-02,STOCKCH,-22.0,Actual
2025-02,TOTDEMO,117.0,Actual
2025-02,TOTEXPSB,321.0,Actual
2025-02,TOTIMPSB,37.0,Actual
2025-03,ADJFACT,0.0,Actual
2025-03,BALANCE,30.0,Actual
2025-03,BLENDING,165.0,Actual
2025-03,CLOSTLV,42669.0,Actual
2025-03,IPTRANSF,-122.0,Actual
2025-03,PTRANSF,59.0,Actual
2025-03,RECEIPTS,346.0,Actual
2025-03,REFGROUT,421.0,Actual
2025-03,SPR,0.0,Actual
2025-03,STOCKCH,30.0,Actual
2025-03,TOTDEMO,142.0,Actual
2025-03,TOTEXPSB,432.0,Actual
2025-03,TOTIMPSB,18.0,Actual
2025-04,ADJFACT,0.0,Actual
2025-04,BALANCE,59.0,Actual
2025-04,BLENDING,210.0,Actual
2025-04,CLOSTLV,44442.0,Actual
2025-04,IPTRANSF,-178.0,Actual
2025-04,PTRANSF,79.0,Actual
2025-04,RECEIPTS,467.0,Actual
2025-04,REFGROUT,426.0,Actual
2025-04,SPR,0.0,Actual
2025-04,STOCKCH,59.0,Actual
2025-04,TOTDEMO,168.0,Actual
2025-04,TOTEXPSB,435.0,Actual
2025-04,TOTIMPSB,26.0,Actual
2025-05,ADJFACT,0.0,Actual
2025-05,BALANCE,45.0,Actual
2025-05,BLENDING,223.0,Actual
2025-05,CLOSTLV,45829.0,Actual
2025-05,IPTRANSF,-211.0,Actual
2025-05,PTRANSF,70.0,Actual
2025-05,RECEIPTS,504.0,Actual
2025-05,REFGROUT,417.0,Actual
2025-05,SPR,0.0,Actual
2025-05,STOCKCH,45.0,Actual
2025-05,TOTDEMO,162.0,Actual
2025-05,TOTEXPSB,466.0,Actual
2025-05,TOTIMPSB,33.0,Actual
2025-06,ADJFACT,0.0,Actual
2025-06,BALANCE,48.0,Actual
2025-06,BLENDING,342.0,Actual
2025-06,CLOSTLV,47260.0,Actual
2025-06,IPTRANSF,-203.0,Actual
2025-06,PTRANSF,24.0,Actual
2025-06,RECEIPTS,569.0,Actual
2025-06,REFGROUT,339.0,Actual
2025-06,SPR,0.0,Actual
2025-06,STOCKCH,48.0,Actual
2025-06,TOTDEMO,155.0,Actual
2025-06,TOTEXPSB,508.0,Actual
2025-06,TOTIMPSB,30.0,Actual
2025-07,ADJFACT,0.0,Actual
2025-07,BALANCE,48.0,Actual
2025-07,BLENDING,300.0,Actual
2025-07,CLOSTLV,48737.0,Actual
2025-07,IPTRANSF,-216.0,Actual
2025-07,PTRANSF,24.0,Actual
2025-07,RECEIPTS,540.0,Actual
2025-07,REFGROUT,307.0,Actual
2025-07,SPR,0.0,Actual
2025-07,STOCKCH,48.0,Actual
2025-07,TOTDEMO,167.0,Actual
2025-07,TOTEXPSB,413.0,Actual
2025-07,TOTIMPSB,21.0,Actual
2025-08,ADJFACT,0.0,Actual
2025-08,BALANCE,62.0,Actual
2025-08,BLENDING,283.0,Actual
2025-08,CLOSTLV,50671.0,Actual
2025-08,IPTRANSF,-225.0,Actual
2025-08,PTRANSF,24.0,Actual
2025-08,RECEIPTS,532.0,Actual
2025-08,REFGROUT,360.0,Actual
2025-08,SPR,0.0,Actual
2025-08,STOCKCH,62.0,Actual
2025-08,TOTDEMO,175.0,Actual
2025-08,TOTEXPSB,424.0,Actual
2025-08,TOTIMPSB,18.0,Actual
2025-09,ADJFACT,-1.0,Actual
2025-09,BALANCE,-24.0,Actual
2025-09,BLENDING,60.0,Actual
2025-09,CLOSTLV,49925.0,Actual
2025-09,IPTRANSF,-239.0,Actual
2025-09,PTRANSF,84.0,Actual
2025-09,RECEIPTS,383.0,Actual
2025-09,REFGROUT,385.0,Actual
2025-09,SPR,0.0,Actual
2025-09,STOCKCH,-25.0,Actual
2025-09,TOTDEMO,134.0,Actual
2025-09,TOTEXPSB,384.0,Actual
